,Signer,sign type,Class Label,Frame,Vid_name,Text
41,Brady,Loan Signs,#ASL,20,Brady-session-ASL_2011_06_08_Brady-scene-13-7966-7985-camera1.mov,asl
42,Brady,Loan Signs,#BACK,26,Brady-session-ASL_2011_06_08_Brady-scene-15-2294-2319-camera1.mov,back
43,Brady,Loan Signs,#BACK,29,Brady-session-ASL_2011_06_08_Brady-scene-15-1218-1246-camera1.mov,back
44,Liz,Loan Signs,#BBQ,49,Liz-session-ASL_2010_08_10_Liz_additional_lexicon_signs-scene-24-1140-1188-camera1.mov,bbq
45,Brady,Loan Signs,#BBQ,22,Brady-session-ASL_2011_06_08_Brady-scene-16-6535-6556-camera1.mov,bbq
46,Brady,Loan Signs,#BUS,16,Brady-session-ASL_2011_06_08_Brady-scene-24-7710-7725-camera1.mov,bus
47,Liz,Loan Signs,#CC,37,Liz-session-ASL_2010_08_10_Liz_additional_lexicon_signs-scene-9-1060-1096-camera1.mov,cc
48,Brady,Loan Signs,#CC,17,Brady-session-ASL_2011_06_08_Brady-scene-26-2832-2848-camera1.mov,cc
49,Brady,Loan Signs,#CO,9,Brady-session-ASL_2011_06_08_Brady-scene-24-10973-10981-camera1.mov,co
50,Brady,Loan Signs,#CP,15,Brady-session-ASL_2011_06_08_Brady-scene-24-11178-11192-camera1.mov,cp
51,Brady,Loan Signs,#EARLY,34,Brady-session-ASL_2011_06_14_Brady-scene-9-4808-4841-camera1.mov,early
52,Brady,Loan Signs,#EARLY,36,Brady-session-ASL_2011_06_14_Brady-scene-9-5366-5401-camera1.mov,early
53,Liz,Loan Signs,#ED,56,Liz-session-ASL_2010_08_10_Liz_additional_lexicon_signs-scene-11-475-530-camera1.mov,ed
54,Brady,Loan Signs,#ED,19,Brady-session-ASL_2011_06_14_Brady-scene-10-2928-2946-camera1.mov,ed
55,Brady,Loan Signs,#FF,13,Brady-session-ASL_2011_06_14_Brady-scene-23-879-891-camera1.mov,ff
56,Brady,Loan Signs,#HA-HA,21,Brady-session-ASL_2011_06_14_Brady-scene-30-5273-5293-camera1.mov,ha-ha
57,Liz,Loan Signs,#HA-HA,46,Liz-session-ASL_2010_08_10_Liz_additional_lexicon_signs-scene-20-255-300-camera1.mov,ha-ha
58,Brady,Loan Signs,#HR,12,Brady-session-ASL_2011_06_14_Brady-scene-30-5005-5016-camera1.mov,hr
59,Brady,Loan Signs,#IF,23,Brady-session-ASL_2011_06_14_Brady-scene-39-152-174-camera1.mov,if
60,Brady,Loan Signs,#JOB,12,Brady-session-ASL_2011_06_14_Brady-scene-43-4192-4203-camera1.mov,job
61,Liz,Loan Signs,#LAB,35,Liz-session-ASL_2010_08_10_Liz_additional_lexicon_signs-scene-31-501-535-camera1.mov,lab
62,Brady,Loan Signs,#LAB,18,Brady-session-ASL_2011_06_14_Brady-scene-46-300-317-camera1.mov,lab
63,Liz,Loan Signs,#OD,40,Liz-session-ASL_2010_08_10_Liz_additional_lexicon_signs-scene-21-1502-1541-camera1.mov,od
64,Brady,Loan Signs,#OD,19,Brady-session-ASL_2011_07_19_Brady-scene-23-3836-3854-camera1.mov,od
65,Brady,Loan Signs,#OFF,19,Brady-session-ASL_2011_07_19_Brady-scene-18-1496-1514-camera1.mov,off
66,Brady,Loan Signs,#OK,9,Brady-session-ASL_2011_07_19_Brady-scene-17-2402-2410-camera1.mov,ok
67,Brady,Loan Signs,#OR,13,Brady-session-ASL_2011_07_19_Brady-scene-17-2600-2612-camera1.mov,or
68,Brady,Loan Signs,#PE,21,Brady-session-ASL_2011_06_14_Brady-scene-30-3800-3820-camera1.mov,pe
69,Brady,Loan Signs,#PE,14,Brady-session-ASL_2011_06_14_Brady-scene-30-3107-3120-camera1.mov,pe
70,Brady,Loan Signs,#PO,19,Brady-session-ASL_2011_07_19_Brady-scene-39-479-497-camera1.mov,po
71,Brady,Loan Signs,#REF,24,Brady-session-ASL_2011_07_19_Brady-scene-53-131-154-camera1.mov,ref
72,Brady,Loan Signs,#RR,25,Brady-session-ASL_2011_07_19_Brady-scene-58-971-995-camera1.mov,rr
73,Brady,Loan Signs,#SS,39,Brady-session-ASL_2011_07_19_Brady-scene-89-2426-2464-camera1.mov,ss
74,Brady,Loan Signs,#TTY,25,Brady-session-ASL_2011_07_22_Brady-scene-12-2338-2362-camera1.mov,tty
75,Brady,Loan Signs,#TV,27,Brady-session-ASL_2011_07_19_Brady-scene-111-1150-1176-camera1.mov,tv
76,Brady,Loan Signs,#VP_2,21,Brady-session-ASL_2011_07_22_Brady-scene-20-1828-1848-camera1.mov,vp_2
77,Brady,Loan Signs,#WHAT,33,Brady-session-ASL_2011_07_22_Brady-scene-27-3338-3370-camera1.mov,what
78,Brady,Loan Signs,#WILL,30,Brady-session-ASL_2011_07_22_Brady-scene-30-1345-1374-camera1.mov,will
79,Brady,Loan Signs,#WOW,31,Brady-session-ASL_2011_07_22_Brady-scene-33-2330-2360-camera1.mov,wow
80,Brady,Loan Signs,#YES,18,Brady-session-ASL_2011_07_22_Brady-scene-35-2313-2330-camera1.mov,yes
81,Brady,Lexical Signs,A,25,Brady-session-ASL_2011_06_08_Brady-scene-6-7024-7048-camera1.mov,a
82,Brady,Lexical Signs,A-LEVEL-ABOVE,20,Brady-session-ASL_2011_07_19_Brady-scene-44-3575-3594-camera1.mov,a-level-above
83,Brady,Lexical Signs,A-LOT,26,Brady-session-ASL_2011_06_08_Brady-scene-11-1212-1237-camera1.mov,a-lot
84,Brady,Lexical Signs,A-LOT,27,Brady-session-ASL_2011_06_14_Brady-scene-14-3394-3420-camera1.mov,a-lot
85,Brady,Lexical Signs,A-LOT,21,Brady-session-ASL_2011_06_14_Brady-scene-37-5364-5384-camera1.mov,a-lot
86,Brady,Lexical Signs,ABANDON,16,Brady-session-ASL_2011_06_08_Brady-scene-6-7839-7854-camera1.mov,abandon
87,Liz,Lexical Signs,ABORTION,66,Liz-session-ASL_2010_08_10_Liz_additional_lexicon_signs-scene-5-1098-1163-camera1.mov,abortion
88,Brady,Lexical Signs,ABSENT,25,Brady-session-ASL_2011_07_19_Brady-scene-3-2818-2842-camera1.mov,absent
89,Liz,Lexical Signs,ABSTRACT,71,Liz-session-ASL_2010_08_10_Liz_additional_lexicon_signs-scene-5-1780-1850-camera1.mov,abstract
90,Brady,Lexical Signs,ABSTRACT,39,Brady-session-ASL_2011_06_14_Brady-scene-26-6187-6225-camera1.mov,abstract
91,Liz,Lexical Signs,ABUSE,83,Liz-session-ASL_2010_08_10_Liz_additional_lexicon_signs-scene-23-288-370-camera1.mov,abuse
92,Brady,Lexical Signs,ABUSE,22,Brady-session-ASL_2011_06_08_Brady-scene-8-702-723-camera1.mov,abuse
93,Brady,Lexical Signs,ABUSE,33,Brady-session-ASL_2011_06_08_Brady-scene-17-10960-10992-camera1.mov,abuse
94,Liz,Lexical Signs,ACQUIRE,57,Liz-session-ASL_2010_08_10_Liz_additional_lexicon_signs-scene-5-1575-1631-camera1.mov,acquire
95,Brady,Lexical Signs,ACT,26,Brady-session-ASL_2011_06_14_Brady-scene-6-7080-7105-camera1.mov,act
96,Brady,Lexical Signs,ACT,36,Brady-session-ASL_2011_07_22_Brady-scene-42-454-489-camera1.mov,act
97,Brady,Compound Signs,ACT+AGENT,30,Brady-session-ASL_2011_06_14_Brady-scene-2-200-229-camera1.mov,act agent
98,Brady,Compound Signs,ACT+AGENT,35,Brady-session-ASL_2011_06_08_Brady-scene-15-3122-3156-camera1.mov,act agent
99,Brady,Lexical Signs,ACTION,73,Brady-session-ASL_2011_06_08_Brady-scene-18-7236-7308-camera1.mov,action
100,Brady,Lexical Signs,ADAPT,21,Brady-session-ASL_2011_06_08_Brady-scene-26-13941-13961-camera1.mov,adapt
101,Liz,Lexical Signs,ADDICTED,37,Liz-session-ASL_2010_08_10_Liz_additional_lexicon_signs-scene-5-1970-2006-camera1.mov,addicted
102,Liz,Lexical Signs,ADULT-TALL,46,Liz-session-ASL_2010_08_10_Liz_additional_lexicon_signs-scene-1-785-830-camera1.mov,adult-tall
103,Brady,Lexical Signs,ADULT-TALL,19,Brady-session-ASL_2011_07_19_Brady-scene-109-517-535-camera1.mov,adult-tall
104,Liz,Lexical Signs,ADULT-TALL,32,Liz-session-ASL_2010_08_10_Liz_additional_lexicon_signs-scene-1-980-1011-camera1.mov,adult-tall
105,Brady,Lexical Signs,ADULT-TALL,29,Brady-session-ASL_2011_06_14_Brady-scene-25-5150-5178-camera1.mov,adult-tall
106,Liz,Lexical Signs,ADULTERY,60,Liz-session-ASL_2010_08_10_Liz_additional_lexicon_signs-scene-5-2307-2366-camera1.mov,adultery
107,Liz,Lexical Signs,ADVENTUROUS/SNEAKY,53,Liz-session-ASL_2010_08_10_Liz_additional_lexicon_signs-scene-23-831-883-camera1.mov,adventurous
108,Brady,Lexical Signs,ADVENTUROUS/SNEAKY,52,Brady-session-ASL_2011_07_19_Brady-scene-88-174-225-camera1.mov,adventurous
109,Brady,Lexical Signs,ADVENTUROUS/SNEAKY,44,Brady-session-ASL_2011_07_22_Brady-scene-53-974-1017-camera1.mov,adventurous
110,Brady,Lexical Signs,ADVERTISE,34,Brady-session-ASL_2011_07_22_Brady-scene-37-795-828-camera1.mov,advertise
111,Brady,Lexical Signs,ADVISE/INFLUENCE,14,Brady-session-ASL_2011_06_08_Brady-scene-9-352-365-camera1.mov,advise
112,Brady,Lexical Signs,ADVISE/INFLUENCE,17,Brady-session-ASL_2011_06_14_Brady-scene-40-2471-2487-camera1.mov,advise
113,Brady,Lexical Signs,AFRAID,21,Brady-session-ASL_2011_06_14_Brady-scene-17-312-332-camera1.mov,afraid
114,Brady,Lexical Signs,AFRAID,23,Brady-session-ASL_2011_07_19_Brady-scene-73-1630-1652-camera1.mov,afraid
115,Brady,Lexical Signs,AFRAID,25,Brady-session-ASL_2011_06_08_Brady-scene-9-1148-1172-camera1.mov,afraid
116,Brady,Lexical Signs,AFTERNOON,21,Brady-session-ASL_2011_06_08_Brady-scene-9-7773-7793-camera1.mov,afternoon
117,Brady,Lexical Signs,AGAIN,21,Brady-session-ASL_2011_06_08_Brady-scene-9-7979-7999-camera1.mov,again
118,Brady,Lexical Signs,AGAIN,14,Brady-session-ASL_2011_07_19_Brady-scene-116-1860-1873-camera1.mov,again
119,Brady,Lexical Signs,AGAIN,77,Brady-session-ASL_2011_06_14_Brady-scene-2-1265-1341-camera1.mov,again
120,Brady,Lexical Signs,AGAINST,39,Brady-session-ASL_2011_07_19_Brady-scene-22-140-178-camera1.mov,against
121,Brady,Number Signs,AGE-FIVE,19,Brady-session-ASL_2011_06_08_Brady-scene-5-10948-10966-camera1.mov,age-five
122,Brady,Number Signs,AGE-FOUR,17,Brady-session-ASL_2011_06_08_Brady-scene-5-9456-9472-camera1.mov,age-four
123,Brady,Number Signs,AGE-ONE,16,Brady-session-ASL_2011_06_08_Brady-scene-4-4585-4600-camera1.mov,age-one
124,Brady,Number Signs,AGE-TWO,15,Brady-session-ASL_2011_06_08_Brady-scene-5-4895-4909-camera1.mov,age-two
125,Brady,Lexical Signs,AGENT,20,Brady-session-ASL_2011_07_19_Brady-scene-31-135-154-camera1.mov,agent
126,Brady,Lexical Signs,AGGRESSIVE,28,Brady-session-ASL_2011_06_08_Brady-scene-9-12148-12175-camera1.mov,aggressive
127,Brady,Lexical Signs,AGGRESSIVE,31,Brady-session-ASL_2011_06_08_Brady-scene-11-2822-2852-camera1.mov,aggressive
128,Brady,Lexical Signs,AGREE,20,Brady-session-ASL_2011_06_08_Brady-scene-10-371-390-camera1.mov,agree
129,Brady,Lexical Signs,AHEAD,35,Brady-session-ASL_2011_06_08_Brady-scene-19-9501-9535-camera1.mov,ahead
130,Brady,Lexical Signs,AHEAD,32,Brady-session-ASL_2011_06_08_Brady-scene-21-169-200-camera1.mov,ahead
131,Brady,Lexical Signs,AIR-PUMP,50,Brady-session-ASL_2011_07_19_Brady-scene-46-2800-2849-camera1.mov,air-pump
132,Liz,Lexical Signs,AIRPLANE,46,Liz-session-ASL_2010_08_10_Liz_additional_lexicon_signs-scene-8-1580-1625-camera1.mov,airplane
133,Brady,Lexical Signs,AIRPLANE,24,Brady-session-ASL_2011_06_08_Brady-scene-10-1230-1253-camera1.mov,airplane
134,Brady,Lexical Signs,AIRPLANE,28,Brady-session-ASL_2011_06_08_Brady-scene-10-1484-1511-camera1.mov,airplane
135,Liz,Compound Signs,AIRPLANE+AGENT,65,Liz-session-ASL_2010_08_10_Liz_additional_lexicon_signs-scene-8-1740-1804-camera1.mov,airplane agent
136,Brady,Compound Signs,AIRPLANE+AGENT,47,Brady-session-ASL_2011_07_19_Brady-scene-33-725-771-camera1.mov,airplane agent
137,Brady,Compound Signs,AIRPLANE+AGENT,35,Brady-session-ASL_2011_06_14_Brady-scene-2-1671-1705-camera1.mov,airplane agent
138,Brady,Lexical Signs,ALARM,27,Brady-session-ASL_2011_06_08_Brady-scene-10-1766-1792-camera1.mov,alarm
139,Brady,Lexical Signs,ALCOHOL,35,Brady-session-ASL_2011_06_14_Brady-scene-50-2044-2078-camera1.mov,alcohol
140,Liz,Lexical Signs,ALGEBRA,63,Liz-session-ASL_2010_08_10_Liz_additional_lexicon_signs-scene-8-1936-1998-camera1.mov,algebra
141,Brady,Lexical Signs,ALGEBRA,21,Brady-session-ASL_2011_06_08_Brady-scene-10-3348-3368-camera1.mov,algebra
142,Brady,Lexical Signs,ALL,30,Brady-session-ASL_2011_06_08_Brady-scene-10-7564-7593-camera1.mov,all
143,Brady,Lexical Signs,ALL-DAY,29,Brady-session-ASL_2011_06_08_Brady-scene-10-8057-8085-camera1.mov,all-day
144,Brady,Lexical Signs,ALL-NIGHT,31,Brady-session-ASL_2011_06_08_Brady-scene-10-8544-8574-camera1.mov,all-night
145,Brady,Lexical Signs,ALL-NIGHT-AFTER-MIDNIGHT,55,Brady-session-ASL_2011_07_19_Brady-scene-2-278-332-camera1.mov,all-night-after-midnight
146,Brady,Lexical Signs,ALL-RIGHT,23,Brady-session-ASL_2011_06_08_Brady-scene-10-8767-8789-camera1.mov,all-right
147,Brady,Lexical Signs,ALL-RIGHT,22,Brady-session-ASL_2011_07_19_Brady-scene-60-1667-1688-camera1.mov,all-right
148,Brady,Lexical Signs,ALLERGY,15,Brady-session-ASL_2011_06_08_Brady-scene-10-8990-9004-camera1.mov,allergy
149,Liz,Compound Signs,ALLERGY,70,Liz-session-ASL_2010_08_10_Liz_additional_lexicon_signs-scene-6-774-843-camera1.mov,allergy
150,Brady,Lexical Signs,ALLIGATOR,31,Brady-session-ASL_2011_06_08_Brady-scene-10-9239-9269-camera1.mov,alligator
151,Brady,Lexical Signs,ALLOW,21,Brady-session-ASL_2011_06_08_Brady-scene-10-10020-10040-camera1.mov,allow
152,Brady,Lexical Signs,ALLOW,15,Brady-session-ASL_2011_06_14_Brady-scene-48-3924-3938-camera1.mov,allow
153,Brady,Lexical Signs,ALONE,26,Brady-session-ASL_2011_07_19_Brady-scene-83-3186-3211-camera1.mov,alone
154,Brady,Lexical Signs,ALONE,69,Brady-session-ASL_2011_06_14_Brady-scene-42-1430-1498-camera1.mov,alone
155,Brady,Lexical Signs,ALSO,21,Brady-session-ASL_2011_07_19_Brady-scene-71-3443-3463-camera1.mov,also
156,Brady,Lexical Signs,ALSO,23,Brady-session-ASL_2011_06_08_Brady-scene-13-5602-5624-camera1.mov,also
157,Brady,Lexical Signs,ALWAYS,29,Brady-session-ASL_2011_06_08_Brady-scene-11-2592-2620-camera1.mov,always
158,Brady,Lexical Signs,AMAZED,21,Brady-session-ASL_2011_07_19_Brady-scene-80-4490-4510-camera1.mov,amazed
159,Brady,Lexical Signs,AMBULANCE,31,Brady-session-ASL_2011_06_08_Brady-scene-11-3119-3149-camera1.mov,ambulance
160,Liz,Lexical Signs,AMBULANCE,51,Liz-session-ASL_2010_08_10_Liz_additional_lexicon_signs-scene-6-1330-1380-camera1.mov,ambulance
161,Brady,Lexical Signs,AMONG,30,Brady-session-ASL_2011_06_08_Brady-scene-11-7576-7605-camera1.mov,among
162,Brady,Lexical Signs,ANALYZE,35,Brady-session-ASL_2011_06_08_Brady-scene-11-9597-9631-camera1.mov,analyze
163,Brady,Lexical Signs,AND,22,Brady-session-ASL_2011_06_08_Brady-scene-11-10803-10824-camera1.mov,and
164,Brady,Lexical Signs,ANGEL,29,Brady-session-ASL_2011_06_08_Brady-scene-11-11033-11061-camera1.mov,angel
165,Brady,Lexical Signs,ANGEL,35,Brady-session-ASL_2011_06_14_Brady-scene-20-5430-5464-camera1.mov,angel
166,Liz,Lexical Signs,ANGLE,71,Liz-session-ASL_2010_08_10_Liz_additional_lexicon_signs-scene-18-3065-3135-camera1.mov,angle
167,Brady,Lexical Signs,ANGLE,40,Brady-session-ASL_2011_06_08_Brady-scene-11-11314-11353-camera1.mov,angle
168,Liz,Lexical Signs,ANGRY,55,Liz-session-ASL_2010_08_10_Liz_additional_lexicon_signs-scene-8-2326-2380-camera1.mov,angry
169,Brady,Lexical Signs,ANGRY,35,Brady-session-ASL_2011_06_08_Brady-scene-9-12376-12410-camera1.mov,angry
170,Brady,Lexical Signs,ANGRY,43,Brady-session-ASL_2011_07_19_Brady-scene-50-952-994-camera1.mov,angry
171,Brady,Lexical Signs,ANIMAL,35,Brady-session-ASL_2011_06_08_Brady-scene-11-11563-11597-camera1.mov,animal
172,Brady,Lexical Signs,ANNOUNCE,18,Brady-session-ASL_2011_06_08_Brady-scene-12-180-197-camera1.mov,announce
173,Brady,Lexical Signs,ANSWER,13,Brady-session-ASL_2011_06_08_Brady-scene-12-1710-1722-camera1.mov,answer
174,Brady,Lexical Signs,ANSWER,17,Brady-session-ASL_2011_06_08_Brady-scene-13-18895-18911-camera1.mov,answer
175,Brady,Lexical Signs,ANSWER,19,Brady-session-ASL_2011_07_19_Brady-scene-56-128-146-camera1.mov,answer
176,Brady,Lexical Signs,ANSWER,15,Brady-session-ASL_2011_07_19_Brady-scene-56-436-450-camera1.mov,answer
177,Brady,Lexical Signs,ANSWER,23,Brady-session-ASL_2011_06_08_Brady-scene-13-19163-19185-camera1.mov,answer
178,Brady,Compound Signs,ANSWER+AGENT,27,Brady-session-ASL_2011_07_19_Brady-scene-56-717-743-camera1.mov,answer agent
179,Brady,Lexical Signs,ANY,31,Brady-session-ASL_2011_06_08_Brady-scene-12-2405-2435-camera1.mov,any
180,Brady,Compound Signs,ANY+ONE,25,Brady-session-ASL_2011_06_14_Brady-scene-2-2228-2252-camera1.mov,any one
181,Brady,Compound Signs,ANY+THING,27,Brady-session-ASL_2011_06_14_Brady-scene-2-2435-2461-camera1.mov,any thing
182,Brady,Compound Signs,ANY+WHERE,31,Brady-session-ASL_2011_06_14_Brady-scene-2-2658-2688-camera1.mov,any where
183,Brady,Compound Signs,ANY+WHERE,31,Brady-session-ASL_2011_06_14_Brady-scene-14-721-751-camera1.mov,any where
184,Brady,Lexical Signs,ANYWAY/NOT-MATTER,31,Brady-session-ASL_2011_06_08_Brady-scene-12-4106-4136-camera1.mov,anyway
185,Liz,Lexical Signs,ANYWAY/NOT-MATTER,49,Liz-session-ASL_2010_08_10_Liz_additional_lexicon_signs-scene-23-1590-1638-camera1.mov,anyway
186,Brady,Lexical Signs,APPLAUSE,28,Brady-session-ASL_2011_07_19_Brady-scene-40-1218-1245-camera1.mov,applause
187,Liz,Lexical Signs,APPLAUSE,40,Liz-session-ASL_2010_08_10_Liz_additional_lexicon_signs-scene-26-1156-1195-camera1.mov,applause
188,Brady,Lexical Signs,APPLAUSE,49,Brady-session-ASL_2011_07_22_Brady-scene-50-588-636-camera1.mov,applause
189,Brady,Lexical Signs,APPLAUSE,53,Brady-session-ASL_2011_06_08_Brady-scene-28-653-705-camera1.mov,applause
190,Brady,Lexical Signs,APPLAUSE,36,Brady-session-ASL_2011_06_08_Brady-scene-29-7159-7194-camera1.mov,applause
191,Brady,Lexical Signs,APPLE,12,Brady-session-ASL_2011_06_08_Brady-scene-12-6398-6409-camera1.mov,apple
192,Brady,Lexical Signs,APPLY,10,Brady-session-ASL_2011_06_08_Brady-scene-12-6628-6637-camera1.mov,apply
193,Brady,Lexical Signs,APPLY,19,Brady-session-ASL_2011_07_22_Brady-scene-37-1538-1556-camera1.mov,apply
194,Brady,Lexical Signs,APPOINT,21,Brady-session-ASL_2011_06_08_Brady-scene-12-7112-7132-camera1.mov,appoint
195,Brady,Lexical Signs,APPOINTMENT,31,Brady-session-ASL_2011_06_08_Brady-scene-12-8701-8731-camera1.mov,appointment
196,Brady,Lexical Signs,APPOINTMENT,32,Brady-session-ASL_2011_07_22_Brady-scene-37-1735-1766-camera1.mov,appointment
197,Brady,Lexical Signs,ARGUE,58,Brady-session-ASL_2011_07_19_Brady-scene-48-1902-1959-camera1.mov,argue
198,Brady,Lexical Signs,ARM,26,Brady-session-ASL_2011_06_08_Brady-scene-13-504-529-camera1.mov,arm
199,Brady,Compound Signs,ARM+SHORT-SLEEVE,36,Brady-session-ASL_2011_07_19_Brady-scene-87-1450-1485-camera1.mov,arm short-sleeve
200,Brady,Lexical Signs,AROUND,59,Brady-session-ASL_2011_06_08_Brady-scene-12-10497-10555-camera1.mov,around
201,Brady,Lexical Signs,ARRIVE,21,Brady-session-ASL_2011_06_08_Brady-scene-13-2629-2649-camera1.mov,arrive
202,Brady,Lexical Signs,ARRIVE,22,Brady-session-ASL_2011_06_08_Brady-scene-21-7068-7089-camera1.mov,arrive
203,Brady,Lexical Signs,ART/DESIGN,45,Brady-session-ASL_2011_06_14_Brady-scene-7-250-294-camera1.mov,art
204,Brady,Lexical Signs,ART/DESIGN,30,Brady-session-ASL_2011_06_08_Brady-scene-13-2878-2907-camera1.mov,art
205,Brady,Lexical Signs,ART/DESIGN,32,Brady-session-ASL_2011_06_14_Brady-scene-7-514-545-camera1.mov,art
206,Brady,Lexical Signs,ART/DESIGN,36,Brady-session-ASL_2011_07_22_Brady-scene-42-844-879-camera1.mov,art
207,Brady,Compound Signs,ART/DESIGN+AGENT,27,Brady-session-ASL_2011_06_14_Brady-scene-2-2930-2956-camera1.mov,art agent
208,Brady,Lexical Signs,ARTICLE,24,Brady-session-ASL_2011_06_08_Brady-scene-13-3660-3683-camera1.mov,article
